Date,OFR FSI,Credit,Equity valuation,Safe assets,Funding,Volatility,United States,Other advanced economies,Emerging markets
3/13/2001,4.099,2.039,1.346,-0.412,0.514,0.612,3.365,0.752,-0.018
3/14/2001,4.63,2.167,1.459,-0.454,0.644,0.814,3.788,0.837,0.005
3/15/2001,4.438,2.19,1.408,-0.497,0.517,0.82,3.624,0.803,0.011
3/16/2001,4.593,2.224,1.501,-0.496,0.424,0.94,3.752,0.824,0.017
3/19/2001,4.465,2.238,1.417,-0.47,0.379,0.901,3.592,0.863,0.01
3/20/2001,4.555,2.257,1.497,-0.441,0.339,0.903,3.66,0.888,0.007
3/21/2001,4.87,2.346,1.575,-0.494,0.482,0.961,3.95,0.916,0.004
3/22/2001,5.317,2.486,1.608,-0.511,0.718,1.016,4.23,1.088,-0.001
3/23/2001,4.898,2.42,1.495,-0.471,0.565,0.889,3.829,1.059,0.01
3/26/2001,4.941,2.391,1.413,-0.442,0.751,0.828,3.873,1.057,0.011
